id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km,diametre_moyen_km,distance_lunaire
3102771,(2002 AL31),False,0.0334622374,0.0748238376,41756.5699551389,21591690.628704485,0.0541430375,56.16985075105225
3360486,(2006 WE4),False,0.4411182,0.9863702813,63365.5885506077,41747245.57999381,0.7137442406500001,108.60365655565506
3645650,(2013 PZ38),False,0.0421264611,0.0941976306,25616.8558539439,53567479.52788589,0.06816204584999999,139.35348472394872
3792468,(2017 YH),False,0.6317641482,1.4126675811,43379.4686554519,33497847.803687,1.0222158646500001,87.1432044840973
3797753,(2018 BV1),False,0.0366906138,0.0820427065,71576.2324083794,73699997.4394205,0.05936666015,191.7273606644654
3986841,(2020 BK3),False,0.0110803882,0.0247765013,29436.0947926279,13359180.581947302,0.01792844475,34.753331378635025
54100624,(2020 YH),False,0.1067959975,0.2388031102,95782.5637812349,74778569.00029458,0.17279955385,194.53321800284752
54104721,(2021 AC2),False,0.0070235225,0.0157050737,68139.94935519,58199644.98384371,0.0113642981,151.4038631213416
54110077,(2021 CR1),False,0.0253837029,0.0567596853,41156.4829978177,44276604.4785502,0.0410716941,115.18367450195161
54239836,(2022 BB1),False,0.0252670754,0.0564988982,95173.7045813348,51192538.27342472,0.0408829868,133.1751776103661
54256783,(2022 EE6),False,0.0330031183,0.0737972161,31337.362577299,5947881.639766284,0.0534001672,15.473157231441947
54341644,(2023 CS3),False,0.0108781483,0.0243242791,22616.5638687608,10178763.929182302,0.0176012137,26.479614800162075
54356994,(2023 HU5),False,0.0081013049,0.0181150684,26878.7249033359,36898816.0127613,0.013108186649999999,95.99067641197009
54515077,(2025 AX2),False,0.0111829138,0.0250057554,37408.7466359755,3151350.085819741,0.018094334599999998,8.198101159780803
54514246,(2025 AE1),False,0.0956213733,0.2138158908,75747.6928215194,22691127.158019576,0.15471863205,59.02998740379702
54517094,(2025 BT2),False,0.0114962176,0.0257063241,62026.0840480079,1094076.497472139,0.01860127085,2.846192761373931
54516181,(2025 BH),False,0.0232570687,0.0520043867,53702.9098649842,1324015.35004352,0.037630727700000005,3.4443687566168575
54529811,(2025 JH2),False,0.01034082,0.0231227764,18355.7990354489,27406948.34127288,0.016731798200000002,71.29799256314485
3313157,(2006 BA),False,0.0080270317,0.0179489885,38454.9031093907,22092069.249428306,0.012988010099999999,57.471564124423274
3648878,(2013 TG6),False,0.012839703,0.0287104486,44844.9883404944,43060552.47514613,0.0207750758,112.02016772930835
3989277,(2020 BN12),False,0.0175612318,0.0392681082,38741.1017709114,25592941.683649205,0.02841467,66.57893257973258
54105515,(2021 AR5),False,0.0206326484,0.0461360043,20950.7753135525,11550817.115014918,0.03338432635,30.04895191210957
54111266,(2021 CG4),False,0.0176422908,0.0394493615,56336.198368865,48995018.07321231,0.028545826150000002,127.45842370762828
54214729,(2021 UO7),False,0.0032700544,0.0073120639,27545.8979744487,16245498.174464907,0.005291059149999999,42.26196195230205
54321433,(2022 UB13),False,0.0027577505,0.0061665176,9111.3349057205,68978203.83048363,0.00446213405,179.4438184976161
54395027,(2023 UJ),False,0.0145396843,0.0325117225,58589.3084307973,47042760.52906835,0.0235257034,122.37971001318509
54433329,(2024 GD2),False,0.0206326484,0.0461360043,11252.6167540361,19908400.67503408,0.03338432635,51.79084462808033
54513040,(2024 YZ12),False,0.0130784109,0.0292442157,30774.5301104993,1207393.518045064,0.021161313299999998,3.1409820968914257
54514890,(2024 YB26),False,0.0131994239,0.0295148091,19784.1248006842,8799819.128513673,0.021357116500000002,22.892349449827453
54515423,(2025 AK3),False,0.0155079709,0.0346768771,26855.7329931151,5115889.091498155,0.025092424000000002,13.308764546040987
54517340,(2025 BN4),False,0.0174002295,0.038908096,26293.7801052939,6774683.336422644,0.028154162750000003,17.624046140537576
54539810,(2025 PB1),False,0.0542693946,0.1213500554,45275.187036492,24097897.371945225,0.087809725,62.68963936510204
3615463,(2012 UK171),False,0.0340843469,0.0762149166,22903.3541937018,4081256.429654541,0.05514963175,10.617212356021179
3730322,(2015 TL178),True,0.1487835705,0.3326901775,63220.2723822373,49699887.73707776,0.240736874,129.2921116989536
3742059,(2016 CF31),False,0.1198270801,0.2679414966,51574.2312735886,25935610.62451035,0.19388428835,67.47037103150456
3773744,(2017 FB157),False,0.0076657557,0.0171411509,46527.2754855059,52134330.21291038,0.012403453299999999,135.6252086704224
3795086,(2017 YQ5),False,0.0305179233,0.0682401509,44896.8626690764,32292968.681761533,0.0493790371,84.00876348012886
3797456,(2018 AN2),False,0.0291443905,0.0651688382,41015.7108874141,24393068.46548883,0.04715661435,63.457514218233165
3836886,(2018 XA4),False,0.0042126461,0.0094197631,32685.1153427529,59918690.38426196,0.0068162046,155.87588549495825
54144373,(2021 JY3),False,0.0054269395,0.0121350055,15791.148336981,31047814.746475734,0.008780972500000001,80.76954928843843
54375205,(2023 OA),False,0.0136318556,0.0304817558,69555.0754996898,68965285.51585679,0.0220568057,179.41021205998123
54515075,(2025 AV2),False,0.0150160248,0.0335768522,60660.831009172,2979899.826637787,0.0242964385,7.752080714458343
54514248,(2025 AF1),False,0.0074912618,0.0167509707,17507.9468054202,1788509.286419594,0.01212111625,4.652729673307997
54517237,(2025 BA3),False,0.0166170902,0.0371569432,26174.5151762749,1237448.837152302,0.026887016700000002,3.2191697116345006
54515857,(2025 AW3),False,0.0350392641,0.0783501764,22171.7591109793,19056435.80881522,0.05669472025,49.57449482001878
54516006,(2025 AZ3),False,0.0174805453,0.0390876876,29580.526052402,228225.76248265,0.02828411645,0.593719465355489
2497113,497113 (2004 EK1),False,0.0925880583,0.2070331923,22587.6042002407,29822591.16693813,0.1498106253,77.5821830565508
3167343,(2003 WP7),False,0.0542693946,0.1213500554,42162.5119167832,22656870.442572538,0.087809725,58.940870037909825
3702319,(2014 YD),False,0.0368599699,0.0824213984,17045.7232403826,14974781.359067757,0.05964068415,38.95624703191404
3797861,(2018 BM3),True,0.1063053145,0.2377059096,82232.6223896413,21814630.844123658,0.17200561204999998,56.74982009397414
54111251,(2021 CO3),False,0.0185590173,0.0414992243,53003.5908453547,68380429.8755312,0.0300291208,177.8887353681873
54244187,(2022 CD),False,0.0159424468,0.0356483948,54878.642478076,36194566.94069976,0.025795420799999996,94.1586028634229
