id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
3797456,(2018 AN2),False,0.0291443905,0.0651688382,41015.7108874141,24393068.46548883
3836886,(2018 XA4),False,0.0042126461,0.0094197631,32685.1153427529,59918690.38426196
2497113,497113 (2004 EK1),False,0.0925880583,0.2070331923,22587.6042002407,29822591.166938126
3167343,(2003 WP7),False,0.0542693946,0.1213500554,42162.5119167832,22656870.442572538
3702319,(2014 YD),False,0.0368599699,0.0824213984,17045.7232403826,14974781.359067757
3797861,(2018 BM3),True,0.1063053145,0.2377059096,82232.6223896413,21814630.844123658
3399548,(2008 AU28),False,0.0262153087,0.0586192124,38741.9560296181,4811939.983897414
3701880,(2014 XO7),False,0.0116025908,0.0259441818,32108.4580819004,55001479.0075566
3878578,(2019 TL2),False,0.0350392641,0.0783501764,18580.9580594344,59495075.397284426
3892010,(2019 UE13),False,0.0188171989,0.042076536,26008.7189881431,52418994.479571976
3536591,(2010 NG1),False,0.2325706875,0.5200438667,66994.4535624706,71957078.28340086
3618492,(2012 WQ10),False,0.077366861,0.1729975604,54149.1951237498,61627285.520752855
3744790,(2016 DL),True,0.1394938229,0.3119176705,72722.0867702882,27109155.904092412
3763953,(2016 WH1),False,0.0253837029,0.0567596853,57534.971335367,43759953.63375309
54341664,(2023 CA4),False,0.100590039,0.2249261651,42565.1487867598,17310120.84098572
3592306,(2012 AN10),False,0.0791689667,0.1770271912,41187.854247844,15258461.406382836
3627014,(2013 DB),False,0.0201629919,0.0450858206,38295.1778043355,46853591.06041552
3674427,(2014 NA39),False,0.040230458,0.0899580388,40436.9505233777,70291378.95983206
3781651,(2017 SS10),False,0.0242412481,0.0542050786,55516.0871072981,67410544.39852612
3445079,(2009 BO58),False,0.1123453177,0.2512117673,74567.6738039657,28772488.993272062
3558375,(2011 EL11),True,0.2809020939,0.6281161771,78886.7259181175,9810797.749147562
3728857,(2015 SY16),True,0.1283970296,0.2871044863,103201.1521701314,63180869.88751354
3989213,(2020 BN9),False,0.0470494961,0.1052058716,39311.7717175826,13418191.780535787
3797709,(2018 AH13),False,0.038775283,0.0867041687,28637.3225175486,19343743.260402698
2265196,265196 (2004 BW58),True,0.453476699,1.0140047252,37794.712471969,10773851.944137601
3145514,(2003 AA3),True,0.2424124811,0.5420507863,43482.3597691132,34255211.195577785
3837565,(2019 AV),False,0.0366906138,0.0820427065,64479.4366017938,39823525.774324656
3627059,(2013 DF),False,0.0319561887,0.0714562102,37373.2680689928,38895592.70119409
3678248,(2014 OG300),False,0.0366906138,0.0820427065,39784.2382857503,13764722.455772903
3740496,(2016 AG193),False,0.0530340723,0.1185877909,55007.7083533634,16829549.427043512
3767871,(2017 BN92),False,0.0189913123,0.0424658654,22400.5997367433,1801435.350216092
3769886,(2017 DA36),False,0.0253837029,0.0567596853,20759.3916858941,51908321.96957432
3836890,(2018 XE4),False,0.0139493823,0.0311917671,28458.6936139709,14457727.916482901
3836913,(2018 XD5),False,0.0305179233,0.0682401509,55688.9286733783,37857743.23635187
3564040,(2011 HO5),False,0.0378926498,0.0847305409,16568.4241692129,42821495.004087195
3801962,(2018 FV),False,0.0308003021,0.0688715693,29858.1117997778,18061902.511950005
3843555,(2019 PZ2),False,0.2901048414,0.648694146,119027.0978999561,58807367.032593474
3515028,(2010 GH7),False,0.0090064777,0.0201390963,45358.2379699121,38462131.78080464
3752780,(2016 JW5),True,0.1053307015,0.2355266087,51253.2807438938,9206432.018369963
3781595,(2017 RO16),False,0.0073207399,0.016369672,59823.0466016609,42638166.09059555
3840791,(2019 GM1),False,0.0094309399,0.0210882227,10560.2538708167,22252617.02528167
3709715,(2015 CL),False,0.0209196771,0.04677782,43783.22248933,17982845.109022796
3799425,(2018 CR3),False,0.0198863453,0.04446722,111379.4680666525,48245526.82043666
3837925,(2019 BL),False,0.0242412481,0.0542050786,64209.7082334118,68421299.95377605
3989084,(2020 BB5),False,0.0030517923,0.0068240151,42003.298612778,13832150.195085244
54244790,(2022 CN1),True,0.1332155667,0.2978790628,54530.0980318768,8870168.095353078
3626687,(2013 CW87),False,0.0178055329,0.039814382,12025.8419963262,13131492.803324748
3708364,(2015 BP509),False,0.0073207399,0.016369672,79841.3953877791,32976155.77994705
3738913,(2015 YC1),False,0.0167708462,0.0375007522,20508.7700747426,25054817.85978803
3767241,(2017 BO31),False,0.2968622513,0.6638041738,79465.974486354,16873153.914995372
3795129,(2017 YJ7),False,0.0146067964,0.0326617897,55355.7066061316,40488906.86635513
3797906,(2018 BL5),False,0.0366906138,0.0820427065,14425.6913107932,15204334.817606444
3989349,(2020 CA),False,0.0031956189,0.007145621,69332.3128526908,28849084.793167993
3342322,(2006 SE6),False,0.0676947481,0.1513700585,50621.2976317723,62393709.517077215
3557543,(2011 CD66),False,0.0110803882,0.0247765013,59815.8722963128,35323013.69946353
3740499,(2016 AK193),False,0.1019893859,0.2280551997,74281.1682952613,54834065.5272183
3763102,(2016 UB107),False,0.0242412481,0.0542050786,34899.5797722267,20407917.238032017
3769438,(2017 BG136),False,0.0169260249,0.0378477424,71938.4142245278,66042979.08895435
3989284,(2020 BW12),False,0.0160160338,0.0358129403,51725.2322874586,59120739.42970381
3102783,(2002 BM5),False,0.0836671502,0.1870854353,44459.6698164272,44000505.004101634
3409964,(2008 JG),True,0.1805323255,0.4036825521,79098.2212080686,62420482.0306056
3602706,(2012 HG2),False,0.0105816886,0.023661375,23974.216365622,15702473.015749779
3781359,(2017 QC36),True,0.1925550782,0.4305662442,66641.9297838196,63297391.65349676
3797745,(2018 AM13),False,0.099667824,0.2228640296,38306.7739426709,72726084.11456461
3837955,(2019 BA1),False,0.0969515991,0.2167903661,69249.5926789943,38217464.89825346
3729141,(2015 TQ21),False,0.0088014652,0.0196806745,87843.02699516,23170348.451185033
3741971,(2016 CA30),False,0.008405334,0.0187948982,39257.1422207273,22274384.81686814
3743127,(2016 CZ192),False,0.0319561887,0.0714562102,48032.6983022614,25059845.55996278
3745113,(2016 EL27),False,0.0160160338,0.0358129403,31395.3670248341,34471592.29238681
3797901,(2018 BG5),False,0.0406027058,0.0907904103,68260.8687012515,53438187.010614805
3626029,(2013 CW32),False,0.1015207872,0.2270073813,69206.727558128,18905648.38143234
3711778,(2015 DJ155),False,0.042320908,0.0946324271,33229.4952090886,7112686.274839131
3825180,(2018 LM4),False,0.4792421155,1.071617948,65685.4721324726,16203071.605181642
3830887,(2018 SO2),False,0.0175612318,0.0392681082,53317.2839888513,62011409.16833482
3989089,(2020 BG5),False,0.0483676488,0.1081533507,23591.2848318598,49386912.38767419
3313733,(2006 BC8),False,0.0253837029,0.0567596853,62971.2720227282,21833713.772817664
3337734,(2006 OT9),False,0.263363131,0.5888978636,31750.6039389167,9365762.381717063
3736807,(2015 YA),False,0.0088014652,0.0196806745,25866.1188498648,38150710.40919527
3741978,(2016 CH30),False,0.0070559416,0.015777565,14492.8258048083,8197888.147949686
3744562,(2016 CO248),False,0.008405334,0.0187948982,21231.1426956893,5161943.094973395
3824091,(2018 JF2),False,0.040230458,0.0899580388,21725.8144582187,54028760.26657201
3477945,(2009 WN8),False,0.0242412481,0.0542050786,73907.38603188,57577232.99273184
2006239,6239 Minos (1989 QF),True,0.5088092249,1.1377320144,36634.6968613308,14819302.2881653
3798973,(2018 BN6),False,0.0116025908,0.0259441818,65537.9231838268,39424236.53795294
3799640,(2018 CD14),False,0.0421264611,0.0941976306,28375.6658724129,72054174.07781437
3803762,(2018 GY4),False,0.4135756649,0.9247833005,54743.9651470033,60875727.7529206
