id,nom,est_dangereux,url_nasa
54292327,(2022 OV3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54292327
54542165,(2025 QK6),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542165
54543549,(2025 RC),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543549
54544082,(2025 RT),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544082
54545767,(2025 RZ5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545767
3278402,(2005 KA),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3278402
3686085,(2014 QN433),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3686085
3689239,(2014 SG1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3689239
3785693,(2017 TP2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3785693
3799253,(2018 CA1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3799253
3831194,(2018 TY),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3831194
54235435,(2022 AO),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54235435
54297802,(2022 QT5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54297802
54524533,(2025 DM53),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524533
54539483,(2025 OW12),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539483
54539335,(2025 NO3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539335
54542746,(2025 QM10),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542746
54543073,(2025 QR12),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543073
54543074,(2025 QT12),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543074
54542326,(2025 QQ7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542326
